Year,Month,Monthly_MSL,Linear_Trend,High_Conf.,Low_Conf.
1887,1,6.799,7.057,7.077,7.037
1887,2,6.941,7.057,7.077,7.036
1887,3,7.102,7.057,7.077,7.036
1887,4,7.061,7.057,7.077,7.036
1887,5,7.078,7.057,7.077,7.036
1887,6,7.087,7.056,7.077,7.036
1887,7,7.064,7.056,7.077,7.036
1887,8,7.112,7.056,7.076,7.036
1887,9,7.077,7.056,7.076,7.036
1887,10,7.112,7.056,7.076,7.036
1887,11,7.031,7.056,7.076,7.036
1887,12,7.18,7.056,7.076,7.036
1888,1,6.949,7.056,7.076,7.036
1888,2,6.981,7.056,7.076,7.036
1888,3,6.722,7.056,7.076,7.036
1888,4,6.821,7.056,7.076,7.035
1888,5,7.078,7.055,7.075,7.035
1888,6,6.987,7.055,7.075,7.035
1888,7,7.004,7.055,7.075,7.035
1888,8,7.032,7.055,7.075,7.035
1888,9,6.927,7.055,7.075,7.035
1888,10,7.132,7.055,7.075,7.035
1888,11,6.991,7.055,7.075,7.035
1888,12,7.14,7.055,7.075,7.035
1889,1,6.969,7.055,7.075,7.035
1889,2,7.291,7.055,7.074,7.035
1889,3,7.002,7.055,7.074,7.035
1889,4,7.041,7.054,7.074,7.035
1889,5,6.868,7.054,7.074,7.035
1889,6,6.957,7.054,7.074,7.034
1889,7,7.034,7.054,7.074,7.034
1889,8,7.192,7.054,7.074,7.034
1889,9,7.067,7.054,7.074,7.034
1889,10,7.032,7.054,7.074,7.034
1889,11,6.951,7.054,7.073,7.034
1889,12,6.88,7.054,7.073,7.034
1890,1,7.069,7.054,7.073,7.034
1890,2,7.021,7.054,7.073,7.034
1890,3,7.042,7.053,7.073,7.034
1890,4,7.101,7.053,7.073,7.034
1890,5,7.008,7.053,7.073,7.034
1890,6,7.167,7.053,7.073,7.034
1890,7,7.104,7.053,7.073,7.034
1890,8,7.032,7.053,7.072,7.033
1890,9,6.987,7.053,7.072,7.033
1890,10,7.282,7.053,7.072,7.033
1890,11,7.121,7.053,7.072,7.033
1890,12,6.83,7.053,7.072,7.033
1891,1,6.869,7.053,7.072,7.033
1891,2,6.991,7.052,7.072,7.033
1891,3,7.172,7.052,7.072,7.033
1891,4,6.921,7.052,7.072,7.033
1891,5,7.018,7.052,7.071,7.033
1891,6,6.957,7.052,7.071,7.033
1891,7,6.954,7.052,7.071,7.033
1891,8,7.082,7.052,7.071,7.033
1891,9,7.067,7.052,7.071,7.033
1891,10,7.022,7.052,7.071,7.032
1891,11,6.901,7.052,7.071,7.032
1891,12,7.03,7.052,7.071,7.032
1892,1,7.079,7.051,7.071,7.032
1892,2,7.131,7.051,7.071,7.032
1892,3,6.872,7.051,7.07,7.032
1892,4,7.061,7.051,7.07,7.032
1892,5,7.158,7.051,7.07,7.032
1892,6,7.097,7.051,7.07,7.032
1892,7,7.134,7.051,7.07,7.032
1892,8,7.052,7.051,7.07,7.032
1892,9,7.037,7.051,7.07,7.032
1892,10,6.952,7.051,7.07,7.032
1892,11,6.831,7.051,7.07,7.032
1892,12,7.07,7.05,7.069,7.031
1893,1,6.909,7.05,7.069,7.031
